Learning Rate.	Train Loss.	
0.1000000000	0.0001143304	
0.1000000000	0.0001750143	
0.1000000000	0.0001397311	
0.1000000000	0.0001214702	
0.1000000000	0.0001214861	
0.1000000000	0.0001229198	
0.1000000000	0.0001124712	
0.1000000000	0.0000863266	
0.1000000000	0.0001561314	
0.1000000000	0.0001126773	
0.1000000000	0.0001722660	
0.1000000000	0.0001692159	
0.1000000000	0.0001096363	
0.1000000000	0.0002317016	
0.1000000000	0.0000945034	
0.1000000000	0.0001519123	
0.1000000000	0.0001060677	
0.1000000000	0.0001341475	
0.1000000000	0.0000925489	
